timestamp,L_raw,R_raw,L_norm,R_norm,L_smooth,R_smooth,anomaly
1751358419.7980201,0,0,0.00,0.00,0.00,0.00,False
1751358419.9208505,0,0,0.00,0.00,0.00,0.00,False
1751358420.0466893,0,0,0.00,0.00,0.00,0.00,False
1751358420.1713557,0,0,0.00,0.00,0.00,0.00,False
1751358420.2747276,0,0,0.00,0.00,0.00,0.00,False
1751358420.380489,0,0,0.00,0.00,0.00,0.00,False
1751358420.4882014,0,0,0.00,0.00,0.00,0.00,False
1751358420.5979698,0,0,0.00,0.00,0.00,0.00,False
1751358420.709125,0,0,0.00,0.00,0.00,0.00,False
1751358420.8570757,0,0,0.00,0.00,0.00,0.00,False
1751358421.0197086,0,0,0.00,0.00,0.00,0.00,False
1751358421.1348734,0,0,0.00,0.00,0.00,0.00,False
1751358421.2643294,0,0,0.00,0.00,0.00,0.00,False
1751358421.3795207,0,0,0.00,0.00,0.00,0.00,False
1751358421.4661484,0,0,0.00,0.00,0.00,0.00,False
1751358421.571441,0,0,0.00,0.00,0.00,0.00,False
1751358421.6736588,0,0,0.00,0.00,0.00,0.00,False
1751358421.7865975,0,0,0.00,0.00,0.00,0.00,False
1751358421.9004962,0,0,0.00,0.00,0.00,0.00,False
1751358422.0102203,0,0,0.00,0.00,0.00,0.00,False
1751358422.1175022,0,0,0.00,0.00,0.00,0.00,False
1751358422.2136905,0,0,0.00,0.00,0.00,0.00,False
1751358422.3130226,0,0,0.00,0.00,0.00,0.00,False
1751358422.4122293,0,0,0.00,0.00,0.00,0.00,False
1751358422.518537,0,0,0.00,0.00,0.00,0.00,False
1751358422.618803,0,0,0.00,0.00,0.00,0.00,False
1751358422.720067,0,0,0.00,0.00,0.00,0.00,False
1751358422.8220196,0,0,0.00,0.00,0.00,0.00,False
1751358422.9115973,0,0,0.00,0.00,0.00,0.00,False
1751358423.029724,0,0,0.00,0.00,0.00,0.00,False
1751358423.1354227,0,0,0.00,0.00,0.00,0.00,False
1751358423.2438858,0,0,0.00,0.00,0.00,0.00,False
1751358423.341623,0,0,0.00,0.00,0.00,0.00,False
1751358423.4885974,0,0,0.00,0.00,0.00,0.00,False
1751358423.6338582,0,0,0.00,0.00,0.00,0.00,False
1751358423.7806196,0,0,0.00,0.00,0.00,0.00,False
1751358423.9349573,0,0,0.00,0.00,0.00,0.00,False
1751358424.0887415,0,0,0.00,0.00,0.00,0.00,False
1751358424.2060335,0,0,0.00,0.00,0.00,0.00,False
1751358424.31275,0,0,0.00,0.00,0.00,0.00,False
1751358424.4230645,0,0,0.00,0.00,0.00,0.00,False
1751358424.5288692,0,0,0.00,0.00,0.00,0.00,False
1751358424.6446528,0,0,0.00,0.00,0.00,0.00,False
1751358424.7525845,0,0,0.00,0.00,0.00,0.00,False
1751358424.8692718,0,0,0.00,0.00,0.00,0.00,False
1751358424.9740267,0,0,0.00,0.00,0.00,0.00,False
1751358425.0907123,0,0,0.00,0.00,0.00,0.00,False
1751358425.195436,0,0,0.00,0.00,0.00,0.00,False
1751358425.3064146,0,0,0.00,0.00,0.00,0.00,False
1751358425.4221375,0,0,0.00,0.00,0.00,0.00,False
1751358425.5298522,0,0,0.00,0.00,0.00,0.00,False
1751358425.641579,0,0,0.00,0.00,0.00,0.00,False
1751358425.7494278,0,0,0.00,0.00,0.00,0.00,False
1751358425.8636463,0,0,0.00,0.00,0.00,0.00,False
1751358425.9699626,0,0,0.00,0.00,0.00,0.00,False
1751358426.1176424,0,0,0.00,0.00,0.00,0.00,False
1751358426.2608252,0,0,0.00,0.00,0.00,0.00,False
1751358426.39717,0,0,0.00,0.00,0.00,0.00,False
1751358426.5240033,0,0,0.00,0.00,0.00,0.00,False
1751358426.6356738,0,0,0.00,0.00,0.00,0.00,False
1751358426.741826,0,0,0.00,0.00,0.00,0.00,False
1751358426.8526711,0,0,0.00,0.00,0.00,0.00,False
1751358426.9523177,0,0,0.00,0.00,0.00,0.00,False
1751358427.0450852,0,0,0.00,0.00,0.00,0.00,False
1751358427.1496553,0,0,0.00,0.00,0.00,0.00,False
1751358427.2578394,0,0,0.00,0.00,0.00,0.00,False
1751358427.3585649,0,0,0.00,0.00,0.00,0.00,False
1751358427.4724176,0,0,0.00,0.00,0.00,0.00,False
1751358427.5592554,0,0,0.00,0.00,0.00,0.00,False
1751358427.653007,0,0,0.00,0.00,0.00,0.00,False
1751358427.752498,0,0,0.00,0.00,0.00,0.00,False
1751358427.8497694,0,0,0.00,0.00,0.00,0.00,False
1751358427.9524145,0,0,0.00,0.00,0.00,0.00,False
1751358428.0490894,0,0,0.00,0.00,0.00,0.00,False
1751358428.1481528,0,0,0.00,0.00,0.00,0.00,False
1751358428.2496476,0,0,0.00,0.00,0.00,0.00,False
1751358428.3596747,0,0,0.00,0.00,0.00,0.00,False
1751358428.4703836,0,0,0.00,0.00,0.00,0.00,False
1751358428.5781598,0,0,0.00,0.00,0.00,0.00,False
1751358428.7222438,0,0,0.00,0.00,0.00,0.00,False
1751358428.8449383,0,0,0.00,0.00,0.00,0.00,False
1751358428.9768796,0,0,0.00,0.00,0.00,0.00,False
1751358429.1089392,0,0,0.00,0.00,0.00,0.00,False
1751358429.2109385,0,0,0.00,0.00,0.00,0.00,False
1751358429.3267095,0,0,0.00,0.00,0.00,0.00,False
1751358429.438859,0,0,0.00,0.00,0.00,0.00,False
1751358429.5474226,0,0,0.00,0.00,0.00,0.00,False
1751358429.6525497,0,0,0.00,0.00,0.00,0.00,False
1751358429.7579532,0,0,0.00,0.00,0.00,0.00,False
1751358429.8566885,0,0,0.00,0.00,0.00,0.00,False
1751358429.9689443,0,0,0.00,0.00,0.00,0.00,False
1751358430.080906,0,0,0.00,0.00,0.00,0.00,False
1751358430.191039,0,0,0.00,0.00,0.00,0.00,False
1751358430.3061616,0,0,0.00,0.00,0.00,0.00,False
1751358430.423732,0,0,0.00,0.00,0.00,0.00,False
1751358430.53115,0,0,0.00,0.00,0.00,0.00,False
1751358430.6430404,0,0,0.00,0.00,0.00,0.00,False
1751358430.7550578,0,0,0.00,0.00,0.00,0.00,False
1751358430.871246,0,0,0.00,0.00,0.00,0.00,False
1751358430.9795134,0,0,0.00,0.00,0.00,0.00,False
1751358431.0837734,0,0,0.00,0.00,0.00,0.00,False
1751358431.2106442,0,0,0.00,0.00,0.00,0.00,False
1751358431.3612945,0,0,0.00,0.00,0.00,0.00,False
1751358431.4938264,0,0,0.00,0.00,0.00,0.00,False
1751358431.6337306,0,0,0.00,0.00,0.00,0.00,False
1751358431.748338,0,0,0.00,0.00,0.00,0.00,False
1751358431.855138,0,0,0.00,0.00,0.00,0.00,False
1751358431.96295,0,0,0.00,0.00,0.00,0.00,False
1751358432.0937762,0,0,0.00,0.00,0.00,0.00,False
1751358432.249921,0,0,0.00,0.00,0.00,0.00,False
1751358432.3936105,0,0,0.00,0.00,0.00,0.00,False
1751358432.529726,0,0,0.00,0.00,0.00,0.00,False
1751358432.6574259,0,0,0.00,0.00,0.00,0.00,False
1751358432.787929,0,0,0.00,0.00,0.00,0.00,False
1751358432.9110725,0,0,0.00,0.00,0.00,0.00,False
1751358433.0307024,0,0,0.00,0.00,0.00,0.00,False
1751358433.1160202,0,0,0.00,0.00,0.00,0.00,False
1751358433.2077727,0,0,0.00,0.00,0.00,0.00,False
1751358433.3071284,0,0,0.00,0.00,0.00,0.00,False
1751358433.4058628,0,0,0.00,0.00,0.00,0.00,False
1751358433.5240455,0,0,0.00,0.00,0.00,0.00,False
1751358433.6324608,0,0,0.00,0.00,0.00,0.00,False
1751358433.743056,0,0,0.00,0.00,0.00,0.00,False
1751358433.8928525,0,0,0.00,0.00,0.00,0.00,False
1751358434.0305126,0,0,0.00,0.00,0.00,0.00,False
